Timestamp,Date,Meeting_ID,Gender,Happy,Sad,Angry,Disgusted,Fear,Surprised,Neutral
10:00:00 AM,3-Apr-21,23132131,0,0.06618,0.203489,0.14721,0.03546,0.163432,0.223132,0.161099
10:00:01 AM,3-Apr-21,23132131,0,0.09938,0.075877,0.138496,0.187467,0.309825,0.000243,0.188712
10:00:02 AM,3-Apr-21,23132131,0,0.229164,0.033756,0.016522,0.137798,0.115429,0.190908,0.276422
10:00:03 AM,3-Apr-21,23132131,0,0.046998,0.225473,0.303624,0.117496,0.173809,0.063397,0.069203
10:00:04 AM,3-Apr-21,23132131,0,0.091779,0.14192,0.022657,0.196117,0.268404,0.053597,0.225527
10:00:05 AM,3-Apr-21,23132131,0,0.220838,0.248961,0.121767,0.151919,0.069814,0.024115,0.162586
10:00:06 AM,3-Apr-21,23132131,0,0.098351,0.213956,0.222895,0.181308,0.044506,0.215612,0.023373
10:00:07 AM,3-Apr-21,23132131,1,0.17206,0.031956,0.054447,0.236738,0.269116,0.07468,0.161004
10:00:08 AM,3-Apr-21,23132131,1,0.090287,0.153291,0.17735,0.204299,0.039337,0.254913,0.080524
10:00:09 AM,3-Apr-21,23132131,1,0.05355,0.23915,0.081182,0.104197,0.213382,0.105951,0.202588
10:00:10 AM,3-Apr-21,23132131,0,0.053108,0.196194,0.094017,0.145831,0.132636,0.150868,0.227347
10:00:11 AM,3-Apr-21,23132131,0,0.239002,0.052541,0.044528,0.236486,0.118702,0.059104,0.249638
10:00:12 AM,3-Apr-21,23132131,1,0.044459,0.201669,0.029819,0.055734,0.206527,0.248239,0.213553
10:00:13 AM,3-Apr-21,23132131,1,0.202325,0.203329,0.205164,0.065571,0.064095,0.115408,0.144107
10:00:14 AM,3-Apr-21,23132131,0,0.138904,0.195788,0.051487,0.282736,0.189671,0.121543,0.019871
10:00:15 AM,3-Apr-21,23132131,1,0.186169,0.041202,0.122778,0.065254,0.199572,0.217089,0.167936
10:00:16 AM,3-Apr-21,23132131,1,0.173107,0.066042,0.289063,0.181315,0.142098,0.050903,0.097472
10:00:17 AM,3-Apr-21,23132131,1,0.200206,0.176761,0.010988,0.161442,0.175246,0.143815,0.131542
10:00:18 AM,3-Apr-21,23132131,1,0.257702,0.053518,0.086031,0.082601,0.222434,0.133056,0.164658
10:00:19 AM,3-Apr-21,23132131,0,0.086125,0.190248,0.226823,0.137472,0.200275,0.15137,0.007687
10:00:20 AM,3-Apr-21,23132131,0,0.145573,0.201233,0.222031,0.061987,0.181044,0.005917,0.182215
10:00:21 AM,3-Apr-21,23132131,0,0.11028,0.20864,0.226996,0.09461,0.226544,0.038699,0.094232
10:00:22 AM,3-Apr-21,23132131,0,0.159316,0.126107,0.169936,0.172525,0.08488,0.150423,0.136813
10:00:23 AM,3-Apr-21,23132131,1,0.117256,0.193642,0.221777,0.051212,0.096941,0.124977,0.194195
10:00:24 AM,3-Apr-21,23132131,0,0.054161,0.098542,0.153866,0.091893,0.202285,0.048591,0.350662
10:00:25 AM,3-Apr-21,23132131,0,0.248421,0.190046,0.021603,0.241411,0.084218,0.076132,0.13817
10:00:26 AM,3-Apr-21,23132131,0,0.081422,0.142057,0.187587,0.156816,0.222932,0.029127,0.180059
10:00:27 AM,3-Apr-21,23132131,0,0.267642,0.026372,0.010013,0.045756,0.043771,0.29336,0.313087
10:00:28 AM,3-Apr-21,23132131,0,0.14554,0.151876,0.219591,0.055891,0.205297,0.063367,0.158438
10:00:29 AM,3-Apr-21,23132131,0,0.019888,0.005039,0.242099,0.325978,0.089111,0.012687,0.305197
10:00:30 AM,3-Apr-21,23132131,1,0.11571,0.066685,0.189242,0.05403,0.275192,0.028577,0.270565
10:00:31 AM,3-Apr-21,23132131,0,0.118732,0.189311,0.014771,0.111428,0.274919,0.015161,0.275677
10:00:32 AM,3-Apr-21,23132131,1,0.144668,0.116743,0.190791,0.088701,0.247769,0.20339,0.007938
10:00:33 AM,3-Apr-21,23132131,1,0.16756,0.13256,0.302363,0.104418,0.148872,0.06747,0.076757
10:00:34 AM,3-Apr-21,23132131,0,0.147711,0.065057,0.112891,0.160959,0.210748,0.213374,0.089261
10:00:35 AM,3-Apr-21,23132131,0,0.183858,0.182452,0.086782,0.18747,0.050669,0.182142,0.126627
10:00:36 AM,3-Apr-21,23132131,0,0.038676,0.176617,0.157989,0.130236,0.127414,0.270706,0.098361
10:00:37 AM,3-Apr-21,23132131,1,0.031924,0.015992,0.36871,0.398683,0.102684,0.049037,0.03297
10:00:38 AM,3-Apr-21,23132131,0,0.038038,0.142859,0.159136,0.104411,0.205524,0.107383,0.242649
10:00:39 AM,3-Apr-21,23132131,0,0.122771,0.178743,0.140177,0.194924,0.146168,0.127311,0.089906
10:00:40 AM,3-Apr-21,23132131,0,0.06055,0.179047,0.26485,0.039669,0.283153,0.049838,0.122892
10:00:41 AM,3-Apr-21,23132131,1,0.196154,0.206622,0.205845,0.016618,0.065369,0.20974,0.099651
10:00:42 AM,3-Apr-21,23132131,1,0.210062,0.184302,0.145333,0.157669,0.20815,0.053346,0.041139
10:00:43 AM,3-Apr-21,23132131,1,0.184449,0.0978,0.095634,0.037975,0.052947,0.269386,0.26181
10:00:44 AM,3-Apr-21,23132131,0,0.105648,0.248327,0.073778,0.147028,0.113407,0.224312,0.087501
10:00:45 AM,3-Apr-21,23132131,1,0.163017,0.062389,0.181315,0.113385,0.083118,0.024725,0.372051
10:00:46 AM,3-Apr-21,23132131,0,0.135778,0.209553,0.150183,0.035144,0.21684,0.16238,0.090122
10:00:47 AM,3-Apr-21,23132131,0,0.139288,0.166011,0.132649,0.18655,0.035296,0.195878,0.144328
10:00:48 AM,3-Apr-21,23132131,0,0.276124,0.090904,0.223296,0.044039,0.086617,0.121201,0.157819
10:00:49 AM,3-Apr-21,23132131,1,0.217078,0.185946,0.082053,0.039207,0.209904,0.10808,0.157733
10:00:50 AM,3-Apr-21,23132131,1,0.176857,0.170627,0.187883,0.029013,0.204051,0.131588,0.099981
10:00:51 AM,3-Apr-21,23132131,0,0.220926,0.139612,0.197458,0.050901,0.089488,0.103315,0.1983
10:00:52 AM,3-Apr-21,23132131,1,0.066275,0.07885,0.009286,0.19026,0.219881,0.155935,0.279513
10:00:53 AM,3-Apr-21,23132131,1,0.071288,0.216165,0.160683,0.055367,0.118504,0.156793,0.2212
10:00:54 AM,3-Apr-21,23132131,0,0.217806,0.271814,0.043454,0.226066,0.171287,0.008138,0.061434
10:00:55 AM,3-Apr-21,23132131,0,0.053506,0.227976,0.019413,0.104558,0.141311,0.001973,0.451263
10:00:56 AM,3-Apr-21,23132131,0,0.077259,0.071083,0.181555,0.165427,0.153463,0.158487,0.192727
10:00:57 AM,3-Apr-21,23132131,0,0.142447,0.145371,0.10373,0.075365,0.115353,0.250907,0.166826
10:00:58 AM,3-Apr-21,23132131,0,0.152953,0.213894,0.089319,0.203008,0.085327,0.192579,0.062921
10:00:59 AM,3-Apr-21,23132131,1,0.148967,0.318149,0.04554,0.049204,0.055602,0.150218,0.232321
10:01:00 AM,3-Apr-21,23132131,0,0.178459,0.066661,0.276766,0.105457,0.19247,0.120936,0.059252
10:01:01 AM,3-Apr-21,23132131,1,0.207017,0.003895,0.180831,0.051764,0.144111,0.244436,0.167945
10:01:02 AM,3-Apr-21,23132131,0,0.176284,0.049116,0.187968,0.013291,0.148444,0.188218,0.236678
10:01:03 AM,3-Apr-21,23132131,1,0.129278,0.15823,0.159332,0.365768,0.077331,0.05831,0.05175
10:01:04 AM,3-Apr-21,23132131,1,0.025403,0.164771,0.20695,0.237329,0.094938,0.171231,0.099379
10:01:05 AM,3-Apr-21,23132131,0,0.25142,0.110364,0.233552,0.044619,0.264225,0.075991,0.019828
10:01:06 AM,3-Apr-21,23132131,1,0.335882,0.036262,0.125403,0.03519,0.224554,0.121623,0.121086
10:01:07 AM,3-Apr-21,23132131,0,0.169047,0.068155,0.232545,0.044356,0.187841,0.083668,0.214389
10:01:08 AM,3-Apr-21,23132131,1,0.189033,0.302154,0.176759,0.130948,0.0763,0.009185,0.115621
10:01:09 AM,3-Apr-21,23132131,0,0.036281,0.319161,0.128514,0.221677,0.018287,0.2685,0.00758
10:01:10 AM,3-Apr-21,23132131,0,0.198083,0.117417,0.103847,0.109398,0.107865,0.288795,0.074594
10:01:11 AM,3-Apr-21,23132131,0,0.00759,0.022359,0.260863,0.221961,0.188916,0.078775,0.219537
10:01:12 AM,3-Apr-21,23132131,0,0.085221,0.097391,0.220185,0.24738,0.041693,0.024156,0.283974
10:01:13 AM,3-Apr-21,23132131,1,0.021875,0.213879,0.083655,0.173503,0.111103,0.174609,0.221375
10:01:14 AM,3-Apr-21,23132131,0,0.183324,0.155203,0.207908,0.128576,0.038731,0.033267,0.252991
10:01:15 AM,3-Apr-21,23132131,0,0.109252,0.156709,0.077044,0.210158,0.10112,0.13755,0.208167
10:01:16 AM,3-Apr-21,23132131,0,0.056509,0.163727,0.15904,0.029661,0.205384,0.103026,0.282653
10:01:17 AM,3-Apr-21,23132131,0,0.198661,0.04074,0.097465,0.143036,0.245917,0.004505,0.269676
10:01:18 AM,3-Apr-21,23132131,0,0.262274,0.120821,0.237419,0.002622,0.153905,0.206289,0.01667
10:01:19 AM,3-Apr-21,23132131,1,0.158212,0.135253,0.127785,0.178504,0.201863,0.136357,0.062025
10:01:20 AM,3-Apr-21,23132131,1,0.065514,0.215798,0.030194,0.21961,0.223016,0.135036,0.11083
10:01:21 AM,3-Apr-21,23132131,1,0.144918,0.176364,0.121906,0.116305,0.187596,0.160261,0.09265
10:01:22 AM,3-Apr-21,23132131,1,0.121658,0.123487,0.158532,0.169619,0.216826,0.207298,0.002579
10:01:23 AM,3-Apr-21,23132131,0,0.118416,0.213078,0.078168,0.163147,0.069832,0.204282,0.153077
10:01:24 AM,3-Apr-21,23132131,1,0.102615,0.11307,0.155239,0.145366,0.098758,0.146273,0.238679
10:01:25 AM,3-Apr-21,23132131,1,0.196537,0.227571,0.164038,0.044054,0.091651,0.101704,0.174444
10:01:26 AM,3-Apr-21,23132131,0,0.349332,0.186676,0.010279,0.204957,0.012641,0.049302,0.186812
10:01:27 AM,3-Apr-21,23132131,1,0.165961,0.175587,0.012767,0.012325,0.154559,0.223313,0.255487
10:01:28 AM,3-Apr-21,23132131,0,0.122071,0.093209,0.18536,0.05904,0.141021,0.200701,0.198597
10:01:29 AM,3-Apr-21,23132131,1,0.123779,0.252735,0.068391,0.126995,0.229859,0.106348,0.091893
10:01:30 AM,3-Apr-21,23132131,0,0.247194,0.160958,0.230076,0.141208,0.079275,0.101735,0.039553
10:01:31 AM,3-Apr-21,23132131,0,0.231708,0.165923,0.135075,0.067404,0.166092,0.227085,0.006714
10:01:32 AM,3-Apr-21,23132131,0,0.074979,0.071528,0.310082,0.257398,0.076651,0.091064,0.118297
10:01:33 AM,3-Apr-21,23132131,1,0.120689,0.110423,0.129332,0.226592,0.024501,0.149434,0.239029
10:01:34 AM,3-Apr-21,23132131,1,0.21875,0.006628,0.171892,0.034158,0.244691,0.230487,0.093394
10:01:35 AM,3-Apr-21,23132131,0,0.15183,0.140129,0.148431,0.16811,0.200124,0.124646,0.066731
10:01:36 AM,3-Apr-21,23132131,0,0.242543,0.220075,0.21224,0.067919,0.01819,0.18308,0.055954
10:01:37 AM,3-Apr-21,23132131,0,0.047702,0.294708,0.191427,0.156224,0.043716,0.057619,0.208604
10:01:38 AM,3-Apr-21,23132131,0,0.183073,0.098155,0.033771,0.030607,0.264731,0.217376,0.172287
10:01:39 AM,3-Apr-21,23132131,0,0.057057,0.04012,0.115423,0.241366,0.172664,0.163487,0.209883
